,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
77,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
78,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
79,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
80,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
81,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
82,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
83,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
84,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
85,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
86,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
87,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
88,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
89,0.00012980000001050485,0.00011990000000139389,0.0001449000000022238,0.00011549999999971305,5.149999999964905e-05,4.340000000002675e-05,4.2000000000097515e-06
90,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
91,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
92,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
93,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
94,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
95,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
96,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
97,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
98,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
99,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
100,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
101,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
102,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
103,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
104,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
